SQM-B

Fecha;Open;High;Low;Close;Volume
28-03-2007 00:00:00;7550;7600;7500;7540,1;295995
29-03-2007 00:00:00;7540,1;7700;7580;7683,3;288421
30-03-2007 00:00:00;7683,3;7830;7700;7830;546586
02-04-2007 00:00:00;7830;7901;7800;7830,8;464280
03-04-2007 00:00:00;7830,8;7900;7830;7830;112797
04-04-2007 00:00:00;7830;7900;7810;7810;346755
05-04-2007 00:00:00;7810;7850;7810;7815;134291
09-04-2007 00:00:00;7815;7900;7800;7900;283132
10-04-2007 00:00:00;7900;8000;7900;8000;193132
11-04-2007 00:00:00;8000;8150;8000;8135,3;132708
12-04-2007 00:00:00;8135,3;8250;8075;8240;194003
13-04-2007 00:00:00;8240;8402;8220;8340;579328
16-04-2007 00:00:00;8340;8450;8350;8439,7;540991
17-04-2007 00:00:00;8439,7;8455,1;8250;8430;222012
18-04-2007 00:00:00;8430;8450;8400;8450;116445
19-04-2007 00:00:00;8450;8500,1;8450;8500;233234
20-04-2007 00:00:00;8500;8500;8450;8450;93718
23-04-2007 00:00:00;8450;8499;8350;8390;158432
24-04-2007 00:00:00;8390;8350;8200,1;8300;465614
25-04-2007 00:00:00;8300;8506;8300;8506;544130
26-04-2007 00:00:00;8506;8605;8500;8500;106384
27-04-2007 00:00:00;8500;8500;8400;8401;39858
30-04-2007 00:00:00;8401;8600;8360;8360;76749
02-05-2007 00:00:00;8360;8400;8360;8360;66073
03-05-2007 00:00:00;8360;8400,1;8360;8395,1;1388962
04-05-2007 00:00:00;8395,1;8400;8389;8390;654760
07-05-2007 00:00:00;8390;8402;8350;8400;75315
08-05-2007 00:00:00;8400;8400;8300;8350;44839
09-05-2007 00:00:00;8350;8499,9;8350;8480;87014
10-05-2007 00:00:00;8480;8500;8399,9;8400;76975
11-05-2007 00:00:00;8400;8520;8400;8500;72827
14-05-2007 00:00:00;8500;8650;8500,1;8620;197312
15-05-2007 00:00:00;8620;8629;8590;8620;202541
16-05-2007 00:00:00;8620;8700,1;8589,9;8589,9;140890
17-05-2007 00:00:00;8589,9;8610;8545;8550;125244
18-05-2007 00:00:00;8550;8590;8400;8499;107311
22-05-2007 00:00:00;8499;8500;8290;8299,9;889177
23-05-2007 00:00:00;8299,9;8300,1;8200;8251;336233
24-05-2007 00:00:00;8251;8270;8100;8100;43672
25-05-2007 00:00:00;8100;8220;8120;8220;196109
28-05-2007 00:00:00;8220;8270;8200;8250;63613
29-05-2007 00:00:00;8250;8510;8220;8400;245803
30-05-2007 00:00:00;8400;8670;8350;8649;288646
31-05-2007 00:00:00;8649;8770;8650;8660;369817
01-06-2007 00:00:00;8660;8750;8655;8732;84211
04-06-2007 00:00:00;8732;8880;8740;8871,3;144026
05-06-2007 00:00:00;8871,3;8900;8870;8899,9;115883
06-06-2007 00:00:00;8899,9;8900;8720;8722,8;61292
07-06-2007 00:00:00;8722,8;8600;8375;8480;293392
08-06-2007 00:00:00;8480;8890;8480;8600;147153
11-06-2007 00:00:00;8600;8650;8549,9;8617,7;199412
12-06-2007 00:00:00;8617,7;8650;8505;8505;165823
13-06-2007 00:00:00;8505;8616,3;8505;8550;293933
14-06-2007 00:00:00;8550;8780;8551;8720;624738
15-06-2007 00:00:00;8720;9100;8780;9055;370633
18-06-2007 00:00:00;9055;9050;8855;8930,8;98495
19-06-2007 00:00:00;8930,8;9050;8800;8870;141651
20-06-2007 00:00:00;8870;8950;8800;8800;176525
21-06-2007 00:00:00;8800;8950;8888;8940;172511
22-06-2007 00:00:00;8940;8940;8750;8916,4;143759
25-06-2007 00:00:00;8916,4;9001;8924,9;9000;185868
26-06-2007 00:00:00;9000;9150;9030;9039;219515
27-06-2007 00:00:00;9039;9100;8840;8869,9;113112
28-06-2007 00:00:00;8869,9;9100;8900;8910;54274
29-06-2007 00:00:00;8910;9130;8980;9130;85958
03-07-2007 00:00:00;9130;9200;9101;9151,5;117428
04-07-2007 00:00:00;9151,5;9160;9150;9160;26219
05-07-2007 00:00:00;9160;9210;9101;9101,1;93722
06-07-2007 00:00:00;9101,1;9101;9049,8;9049,9;53978
09-07-2007 00:00:00;9049,9;9045;9000;9000;87285
10-07-2007 00:00:00;9000;9000;8850;8875,4;65773
11-07-2007 00:00:00;8875,4;8935;8600;8624;87318
12-07-2007 00:00:00;8624;8881;8639;8670,2;285550
13-07-2007 00:00:00;8670,2;8881;8630;8667,3;240914
17-07-2007 00:00:00;8667,3;8799,9;8698;8740;193178
18-07-2007 00:00:00;8740;8740;8650;8650;63794
19-07-2007 00:00:00;8650;8750;8550;8566;335612
20-07-2007 00:00:00;8566;8740;8300;8330;158395
23-07-2007 00:00:00;8330;8610;8250;8255;407868
24-07-2007 00:00:00;8255;8500;8099,8;8217,7;1488818
25-07-2007 00:00:00;8217,7;8490;8050;8120;150772
26-07-2007 00:00:00;8120;8250;7951;8192,3;2696761
27-07-2007 00:00:00;8192,3;8400;8100;8400;1187316
30-07-2007 00:00:00;8400;8600;8400;8550;386548
31-07-2007 00:00:00;8550;8570;8475;8498;329920
01-08-2007 00:00:00;8498;8570;8380;8450;142442
02-08-2007 00:00:00;8450;8500;8350;8456,6;155797
03-08-2007 00:00:00;8456,6;8510;8400;8485,9;269743
06-08-2007 00:00:00;8485,9;8380;8250;8251;70458
07-08-2007 00:00:00;8251;8350;8251;8300;336804
08-08-2007 00:00:00;8300;8550;8350,1;8499;237616
09-08-2007 00:00:00;8499;8510;8300;8395,1;146014
10-08-2007 00:00:00;8395,1;8300;8099,9;8190;349631
13-08-2007 00:00:00;8190;8300;8190;8200;239042
14-08-2007 00:00:00;8200;8250;7800;7899,4;147755
16-08-2007 00:00:00;7899,4;8028;7200;7650;806189
17-08-2007 00:00:00;7650;8028;7645;7949,4;223646
20-08-2007 00:00:00;7949,4;7950,1;7760;7910;114011
21-08-2007 00:00:00;7910;8050;7850;8050;139890
22-08-2007 00:00:00;8050;8150;7980;8105,3;233907
